Número da Compra;Número do Item;Descrição;Descrição Detalhada;Início da Vigência;Fim da Vigência;Unidade;Qtd. Autorizada;Fornecedor;Val. Unitário;Qtd. Saldo;Marca;Tipo de Compra;Número do Pregão;Ano do Pregão;UASG;Objeto;Unidade de Fornecimento;UG;Quantidade Empenhada;Início da Vigência;Fim da Vigência;Capacidade de Empenho
160224-90003/2024;1;440970 - Abraçadeira;"Abraçadeira Material: Aço Carbono , Tipo: ""U"" , Diâmetro Amarração: 1 PO";;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;200;13.338.681/0001-44 - COMERCIAL SPONCHIADO LTDA;1.4;200;KALA;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;2;282538 - Abraçadeira;Abraçadeira Material: Metal Galvanizado , Aplicação: Fixação Mangueira , Diâmetro Amarração: 2 PO;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;200;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;2.7;200;CE;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;3;398522 - Abraçadeira;Abraçadeira Material: Aço Inoxidável , Tipo: Rosca Sem Fim , Diâmetro Amarração: 3 1/2 PO;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;20;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;43.0;20;CE;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Pacote 10,00 UN;;;;30/04/2025;
160224-90003/2024;4;453137 - Carrinho mão;Carrinho Mão Material Caçamba: Chapa Aço Galvanizado , Material Chassi: Ferro , Material Pés: Ferro , Quantidade Roda: 1 UN, Tipo Roda: Pneu Com Câmara , Capacidade Caçamba: 60;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;4;;;4;;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;5;441646 - Arame farpado;Arame Farpado Material: Aço , Diâmetro: 2,76 MM, Tratamento Superficial: Galvanizado , Características Adicionais: Concertina Clipada (Dupla) 300mm;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;300;14.221.952/0001-40 - METALURGICA SOUZA E MARTINS LTDA;10.39;300;Dupla;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Metro;;;;30/04/2025;
160224-90003/2024;6;441647 - Arame farpado;Arame Farpado Material: Aço , Diâmetro: 2,76 MM, Tratamento Superficial: Galvanizado , Características Adicionais: Concertina Simples 300mm;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;300;14.221.952/0001-40 - METALURGICA SOUZA E MARTINS LTDA;7.92;300;Simples;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Metro;;;;30/04/2025;
160224-90003/2024;7;336023 - Arame galvanizado;Arame Galvanizado Material: Aço Carbono , Tipo: Nº 16;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;50;40.044.357/0001-96 - CJC COMERCIO VAREJISTA E ATACADISTA DE FERRAMENTAS LTDA;15.42;50;FERFATTO;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Quilograma;;;;30/04/2025;
160224-90003/2024;8;247711 - Arame galvanizado;Arame Galvanizado Material: Arame Galvanizado , Tipo: Nº 18;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;50;40.044.357/0001-96 - CJC COMERCIO VAREJISTA E ATACADISTA DE FERRAMENTAS LTDA;16.24;50;FERFATTO;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Quilograma;;;;30/04/2025;
160224-90003/2024;9;380038 - Arame galvanizado;Arame Galvanizado Material: Metal , Tipo: Nº 12;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;50;43.731.740/0001-00 - FRONT COMERCIAL LTDA;14.12;50;7491012000;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Quilograma;;;;30/04/2025;
160224-90003/2024;10;471741 - Arame galvanizado;Arame Galvanizado Material: Metal , Tipo: Nº 14 , Diâmetro Fio: 2,10 M;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;50;40.044.357/0001-96 - CJC COMERCIO VAREJISTA E ATACADISTA DE FERRAMENTAS LTDA;14.1;50;FERFATTO;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Quilograma;;;;30/04/2025;
160224-90003/2024;11;443262 - Parafuso;Parafuso Material: Bicromatizado , Tipo: Cabeça Chata , Comprimento: 20 MM, Diâmetro: 3,5 MM, Características Adicionais: Fenda Philips , Aplicação: Madeira;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;1000;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;0.03;1000;CE;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;12;443267 - Parafuso;Parafuso Material: Bicromatizado , Tipo: Cabeça Chata , Comprimento: 45 MM, Diâmetro: 4 MM, Características Adicionais: Fenda Philips , Aplicação: Madeira;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;2;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;31.0;2;CE;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Caixa 500,00 UN;;;;30/04/2025;
160224-90003/2024;13;443269 - Parafuso;Parafuso Material: Bicromatizado , Tipo: Cabeça Chata , Comprimento: 60 MM, Diâmetro: 4 MM, Características Adicionais: Fenda Philips , Aplicação: Madeira;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;500;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;0.16;500;CE;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;14;239119 - Bucha parafuso;Bucha Parafuso Material: Náilon , Tamanho: S-10;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;1000;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;0.14;1000;CE;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;15;249218 - Bucha parafuso;Bucha Parafuso Material: Náilon , Tamanho: S-8;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;1000;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;0.1;1000;CE;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;16;318018 - Bucha parafuso;Bucha Parafuso Material: Plástico , Tamanho: S-6;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;2;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;18.0;2;CE;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Milheiro;;;;30/04/2025;
160224-90003/2024;17;267409 - Chapa alumínio;Chapa Alumínio Largura: 60 CM, Aplicação: Calha Construção Civil , Espessura: 0,4 M;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;50;;;50;;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Metro;;;;30/04/2025;
160224-90003/2024;18;266338 - Cantoneira Metal Ferroso;"Cantoneira Metal Ferroso Material: Ferro , Largura Abas Iguais: 3/4"" POL, Espessura: 1/8 POL, Comprimento: 6";;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;20;37.405.049/0001-34 - VILA METAL COMERCIO LTDA;44.24;20;RDG;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Metro;;;;30/04/2025;
160224-90003/2024;19;468763 - Conjunto broca;Conjunto Broca Material: Aço , Aplicação: Madeira , Componentes: 7 Peças De 3, 4, 5, 6, 7, 8  E 10mm , Tipo: Cilíndrica Com 3 Pontas;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;12;40.044.357/0001-96 - CJC COMERCIO VAREJISTA E ATACADISTA DE FERRAMENTAS LTDA;11.75;12;7021255;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;20;468764 - Conjunto broca;Conjunto Broca Material: Vídea , Aplicação: Concreto , Componentes: 8 Peças De 3, 4, 5, 6, 7, 8, 9  E 10mm;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;12;13.338.681/0001-44 - COMERCIAL SPONCHIADO LTDA;15.0;12;FERTAK;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;21;473176 - Dobradiça porta;Dobradiça Porta Material: Latão , Altura: 3 POL, Largura: 2 1/2 PO;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;30;40.044.357/0001-96 - CJC COMERCIO VAREJISTA E ATACADISTA DE FERRAMENTAS LTDA;13.8;30;25045;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Pacote 3,00 UN;;;;30/04/2025;
160224-90003/2024;22;442980 - Dobradiça;Dobradiça Material: Aço Inoxidável , Tipo: Vai-Vem , Tamanho: 4 POL, Aplicação: Porta;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;90;;;90;;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;23;265078 - Arame galvanizado;Arame Galvanizado Material: Metal , Tipo: Nº 14;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;50;40.044.357/0001-96 - CJC COMERCIO VAREJISTA E ATACADISTA DE FERRAMENTAS LTDA;17.12;50;FERFATTO';Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Quilograma;;;;30/04/2025;
160224-90003/2024;24;395433 - Fechadura;Fechadura Material Caixa: Metal , Componentes: Duas Chaves , Tipo: Tetra , Aplicação: Porta;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;20;43.892.634/0001-09 - BRAVE DISTRIBUIDORA LTDA;51.48;20;03009.0341.01;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;25;406257 - Fechadura;Fechadura Material Caixa: Latão , Material Lingueta: Latão , Acabamento Superficial: Cromado Brilhante , Material Tambor Segredo: Latão , Características Adicionais: Cilindro Oval Com 5 Pinos , Tipo: Externa , Aplicação: Porta , Comprimento: 15,50 CM, Altura: 22,40 CM, Espessura: 2,50 C;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;20;08.658.622/0001-13 - J. J. VITALLI;47.42;20;3F;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;26;432887 - Rebite pop;Rebite Pop Material: Alumínio , Tipo: Repuxo , Diâmetro Corpo: 4 MM, Comprimento: 10 M;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;500;13.338.681/0001-44 - COMERCIAL SPONCHIADO LTDA;0.07;500;WORKER;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;27;319855 - Tela metálica;Tela Metálica Material: Aço Galvanizado , Tipo Tela: Soldada , Tipo Abertura Malha: Quadrangular , Tamanho Abertura Malha: 15 X 15 CM, Diâmetro Fio: 4,20 MM, Comprimento: 3 M, Altura: 2 M, Aplicação: Construção Civil , Características Adicionais: Fabricação De Acordo Normas Abnt;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;20;16.864.240/0001-74 - JCV COMERCIO E INDUSTRIA LTDA;100.0;20;TELA METÁLICA;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;28;278044 - Tela Metálica;Tela Metálica Material: Arame Galvanizado , Tipo Tela: Alambrado , Tipo Abertura Malha: Losangular , Tamanho Abertura Malha: 100 X 50 MM, Diâmetro Fio: 2,20 MM, Comprimento: 25 M, Altura: 1,50;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;4;41.278.073/0001-27 - MP COMERCIO DE TELAS E FERRAGENS LTDA;750.0;4;tela de alambrado;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Rolo 25,00 M;;;;30/04/2025;
160224-90003/2024;29;444715 - Telha;Telha Material: Alumínio E Zinco , Tipo: Trapezoidal , Comprimento: 5 M, Largura: 1,10;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;50;44.207.436/0001-21 - JORDAO LICITACOES E SERVICOS LTDA;188.1;50;5x1,10m/Trapezoidal;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;30;450336 - Telha;Telha Material: Zinco , Tipo: Trapezoidal , Comprimento: 2,20 M, Largura: 110;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;50;44.207.436/0001-21 - JORDAO LICITACOES E SERVICOS LTDA;87.12;50;2,20x1,10m/Trapezoid;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
